nodes,total_ranks,teams,thread_limit,N,ITERS,reps,median_s,mean_s,min_s,max_s
1,4,108,128,10000,1000,10,1.599895000,1.601071300,1.596194000,1.609453000
1,4,108,256,10000,1000,10,1.018428000,1.020187000,1.013541000,1.028465000
1,4,108,512,10000,1000,10,0.702627500,0.702866100,0.699355000,0.705441000
1,4,108,1024,10000,1000,10,0.597430000,0.600292800,0.595138000,0.624847000
1,4,108,2048,10000,1000,10,0.598018500,0.598399800,0.596604000,0.604447000
1,4,432,128,10000,1000,10,0.704279500,0.706332000,0.697722000,0.725152000
1,4,432,256,10000,1000,10,0.606123000,0.609637700,0.604645000,0.630706000
1,4,432,512,10000,1000,10,0.632757000,0.633650900,0.630416000,0.643243000
1,4,432,1024,10000,1000,10,0.618909000,0.621539400,0.614759000,0.642325000
1,4,432,2048,10000,1000,10,0.616895000,0.618949500,0.615874000,0.626283000
1,4,864,128,10000,1000,10,0.598479000,0.600797600,0.597320000,0.622645000
1,4,864,256,10000,1000,10,0.619936500,0.620483300,0.618797000,0.623742000
1,4,864,512,10000,1000,10,0.618399500,0.620701500,0.616164000,0.633993000
1,4,864,1024,10000,1000,10,0.602061000,0.604004300,0.600848000,0.613016000
1,4,864,2048,10000,1000,10,0.604340500,0.609451900,0.601146000,0.629499000
1,4,1728,128,10000,1000,10,0.616599500,0.617918200,0.614871000,0.624521000
1,4,1728,256,10000,1000,10,0.613307500,0.613682000,0.610380000,0.619209000
1,4,1728,512,10000,1000,10,0.603419000,0.604666600,0.601512000,0.611833000
1,4,1728,1024,10000,1000,10,0.605039000,0.607499700,0.595352000,0.631697000
1,4,1728,2048,10000,1000,10,0.598157500,0.599389200,0.595691000,0.606529000
1,4,2592,128,10000,1000,10,0.617836500,0.618688500,0.615178000,0.627566000
1,4,2592,256,10000,1000,10,0.612159500,0.617106200,0.608473000,0.637306000
1,4,2592,512,10000,1000,10,0.597206000,0.598893100,0.595185000,0.608657000
1,4,2592,1024,10000,1000,10,0.586804500,0.587370900,0.584073000,0.593178000
1,4,2592,2048,10000,1000,10,0.585455000,0.587646600,0.581475000,0.594588000
1,4,3456,128,10000,1000,10,0.622684500,0.625302900,0.620624000,0.637456000
1,4,3456,256,10000,1000,10,0.603270000,0.606521800,0.600981000,0.627649000
1,4,3456,512,10000,1000,10,0.589129500,0.590335200,0.585482000,0.604126000
1,4,3456,1024,10000,1000,10,0.581347000,0.585327900,0.579412000,0.610372000
1,4,3456,2048,10000,1000,10,0.582783000,0.584216100,0.580850000,0.590551000
