rank,size,N,iters,init_time,comm_time,comp_time ,total_wall_s
0,4,10000,1000,0.158911226,0.090798635,1.361418329,1.611128190
0,8,10000,1000,0.085700033,0.106089721,0.693798094,0.885587848
0,16,10000,1000,0.049431695,0.145077728,0.352612535,0.547121958
0,32,10000,1000,0.031362449,0.147277815,0.184562655,0.363202919
0,64,10000,1000,0.025739536,0.214139191,0.101605890,0.341484617
0,96,10000,1000,0.022599417,0.266416886,0.051659822,0.340676125
0,128,10000,1000,0.021034249,0.273070998,0.042137264,0.398430559
0,192,10000,1000,0.018144119,0.479180451,0.031727694,0.529052264
0,256,10000,1000,0.019390852,0.729045575,0.026187085,0.774623512
0,4,30000,1000,1.293307710,0.233008869,11.781589971,13.307906550
0,8,30000,1000,0.656066833,0.256020587,5.899083906,6.811171326
0,16,30000,1000,0.336896719,0.273903154,2.968759338,3.579559211
0,32,30000,1000,0.176856235,0.305709147,1.498684485,1.981249867
0,64,30000,1000,0.099832205,0.451088003,0.763136723,1.314056931
0,96,30000,1000,0.071888743,0.542114651,0.517445035,1.131448429
0,128,30000,1000,0.058576316,0.664347653,0.393779716,1.116703685
0,192,30000,1000,0.043669519,0.674039592,0.280353852,0.998062963
0,256,30000,1000,0.037794564,0.995361100,0.215145123,1.248300787
0,4,60000,1000,5.025970840,0.845411200,49.541501391,55.412883431
0,8,60000,1000,2.528181274,0.908685909,24.294440600,27.731307783
0,16,60000,1000,1.281500763,0.704997262,11.989018818,13.975516843
0,32,60000,1000,0.652566704,0.504939968,5.989949579,7.147456251
0,64,60000,1000,0.340566685,0.726662525,3.003713573,4.070942783
0,96,60000,1000,0.232050138,0.782590363,2.006453749,3.021094250
0,128,60000,1000,0.177222369,1.298520045,1.512201844,2.987944258
0,192,60000,1000,0.127156286,1.742453637,1.016158863,2.885768786
0,256,60000,1000,0.095420049,1.678806642,0.817562139,2.591788830

